rank,name,points,division
1,lagesse victor,3000,JUNIOR
1,lebreton pierre,3000,JUNIOR
3,Currimjee Nathan,2555,JUNIOR
4,Jules Doger de Speville,2380,JUNIOR
5,Desvaux de Marigny Baptiste,1960,JUNIOR
6,Bee Noa,1750,JUNIOR
7,Navarrini Leonardo,1575,JUNIOR
8,HERVÉ Félix,1540,JUNIOR
9,Park Theo,1020,JUNIOR
10,Schroder Kai,960,JUNIOR
11,de Robillard Cameron,950,JUNIOR
12,Fortunato Tommaso,935,JUNIOR
13,keeve john,910,JUNIOR
14,Max Schaffo,885,JUNIOR
15,HIPPERT Gaspard,840,JUNIOR
16,Doger de Speville Nathan,795,JUNIOR
17,Tom Schaffo,545,JUNIOR
18,Bosseler Antoine,535,JUNIOR
19,Hardy Hilton,510,JUNIOR
20,Boudry Noah,438,JUNIOR
21,Arthur BERTEL,375,JUNIOR
22,BERTEL Clement,343,JUNIOR
23,Merle Loïs,235,JUNIOR
24,Ollivier Maé,175,JUNIOR
25,Dorne timothée,138,JUNIOR
26,forbes caiden,135,JUNIOR
27,Assan Aly Adam,110,JUNIOR
27,ASSAN ALY Idris,110,JUNIOR
29,Cervello Theo,65,JUNIOR
30,Émile Gustin,50,JUNIOR
32,Lamusse Enzo,38,JUNIOR
33,Edgar De Fromont,15,JUNIOR
34,Lihan Oosthuizen,0,JUNIOR
34,GARCIA Enzo,0,JUNIOR
34,Hardy Axel,0,JUNIOR
34,Feugier Leo,0,JUNIOR
34,Lisandro Lopez Masse,0,JUNIOR
