rank,name,points,division
1,Vallet Mathieu,5200,MEN
2,Cotin Josselin,4775,MEN
3,de Beer Amaury,4700,MEN
4,Legros Nicolas,4650,MEN
5,Couacaud Olivier,4400,MEN
6,Jake Lam hau ching,4170,MEN
7,Wong Ryan,3875,MEN
8,Tronc Sebastien,3845,MEN
9,Koenig Simon,3660,MEN
10,Park Thierry,3655,MEN
11,Romain Bouic,3545,MEN
12,Dupont Ulric,3450,MEN
13,Mamet Jérôme,3435,MEN
14,Loic Mamet,3410,MEN
15,Raffray Dimitri,3310,MEN
16,Lescroart Brice,3200,MEN
17,Gadait Pierre,3135,MEN
18,Rogers Jason,3105,MEN
19,Merven Enzo,2985,MEN
20,Raffray Frédérick,2960,MEN
21,Desjardins Samuel,2790,MEN
22,Mamet Oscar,2648,MEN
23,Ellis Clinton,2563,MEN
24,Charni Samy,2450,MEN
25,Kwok Anthony,2330,MEN
26,Lincoln Ludovic,2295,MEN
27,Gosch Mickaël Jorge,2286,MEN
28,Manson Florian,2256,MEN
29,Axel Bellancourt,2150,MEN
30,Miary Zo RAKOTONDRAMBOA,2120,MEN
31,Lyzhnikov Kirill,2116,MEN
32,Mathias Bezandry,2110,MEN
33,Jean Christophe Schaffo,2096,MEN
34,AFIF Zakaria,2083,MEN
35,Shevchenko Andrey,1979,MEN
36,Schroder Olaf,1964,MEN
37,Auckland Adam,1938,MEN
38,HERVE Stephane,1918,MEN
39,Sanchez Romero Aaron,1900,MEN
40,Delaporte Sanjay,1841,MEN
41,Rey Nicolas,1832,MEN
42,Goupil Charlie,1823,MEN
43,Johann Hacklbauer,1793,MEN
44,Mouton Pierre,1589,MEN
45,Antoine DE HAAS,1537,MEN
46,Danjoux Stephane,1536,MEN
47,Moreau Silvain,1485,MEN
48,Cassadin Guillaume,1463,MEN
49,Rabezafy Mamitiana landry,1460,MEN
50,Samuel Ava,1446,MEN
51,Mamet Xavier,1439,MEN
52,Fabrice Peroux,1418,MEN
53,Thomas Stephane,1371,MEN
54,Dorne Raphael,1366,MEN
55,Pellas Leo,1355,MEN
56,François-Xavier Pieltain,1349,MEN
57,lebreton pierre,1277,MEN
58,de Robillard William,1213,MEN
59,Cambier Vincent,1204,MEN
60,Holvec Steven,1198,MEN
61,Haëner Corentin,1185,MEN
62,Jeremy PALMIA,1173,MEN
63,Bezandry Christian,1171,MEN
64,Thomas Gael,1159,MEN
65,Merven Leo,1154,MEN
66,Houareau Anna-Blue,1140,MEN
67,Dupey Pierre-Hugo,1138,MEN
68,palczynski przemek,1123,MEN
69,Langlois Pierre Alain,1122,MEN
70,Hoffmann Hugo,1105,MEN
71,Mamet Olivier,1103,MEN
72,Marin Fontaine,1065,MEN
