rank,name,points,division
1,Lyzhnikov Kirill,2898,MIXTE
1,Lyzhnikova Ekaterina,2898,MIXTE
3,Danjoux Alice,1788,MIXTE
4,Rae Damien,1600,MIXTE
4,Jake Lam hau ching,1600,MIXTE
6,Bezandry Christian,1515,MIXTE
7,Jugdarree Pamela Paquita,1512,MIXTE
8,Coline Aumard,1438,MIXTE
9,Saddul Yushna,1375,MIXTE
10,Danjoux Stephane,1288,MIXTE
11,Alleaume Catherine,1250,MIXTE
12,Armand Emma,1090,MIXTE
13,Nayna Fabrice,1065,MIXTE
14,Rasamimanana Megane,1038,MIXTE
15,Oxenham Frederique,1025,MIXTE
16,François-Xavier Pieltain,950,MIXTE
17,Jean Christophe Schaffo,938,MIXTE
18,Giraud Marinne,925,MIXTE
19,palczynski przemek,900,MIXTE
19,Foo Kune Kate,900,MIXTE
21,Magaly Schaffo,888,MIXTE
22,Fortunato Sara,857,MIXTE
23,Navarrini Leonardo,840,MIXTE
24,Hola Martina,765,MIXTE
24,Labour Emanuel,765,MIXTE
26,Ramasawmy Adam,763,MIXTE
27,Auckland Adam,713,MIXTE
28,de Robillard William,665,MIXTE
28,Rey Cristina,665,MIXTE
30,Gabriel Bertoye,650,MIXTE
31,Nash Laura,640,MIXTE
31,Allison Carla,640,MIXTE
33,Merven Enzo,625,MIXTE
33,Elsa Toulet,625,MIXTE
33,yeadon Nikita,625,MIXTE
36,Park Thierry,600,MIXTE
36,Park Aurelie,600,MIXTE
38,Kleyn Deborah,590,MIXTE
39,Goupil Charlie,575,MIXTE
40,Aurelia Bee,566,MIXTE
41,Fabien Breton,525,MIXTE
41,Desvaux de Marigny Celine,525,MIXTE
41,Desvaux de Marigny Agnes,525,MIXTE
44,Need Farah,515,MIXTE
45,Loic Mamet,500,MIXTE
45,Koenig Laura,500,MIXTE
45,Mathias Bezandry,500,MIXTE
48,lamusse lisa,490,MIXTE
49,Perrault Emmanuel,485,MIXTE
49,Mamet Clea,485,MIXTE
51,de Robillard Cameron,465,MIXTE
52,Gomez Luna,438,MIXTE
53,Mamet Olivier,435,MIXTE
54,Eric Cheveau,420,MIXTE
55,Julien Bee,416,MIXTE
56,Cruciani Valentina,415,MIXTE
57,Jeudy Laurent,400,MIXTE
57,Jeudy Anne Laure,400,MIXTE
59,Tom Schaffo,388,MIXTE
60,Fortunato Riccardo,375,MIXTE
60,Toulet Florent,375,MIXTE
62,Courcoux Melanie,350,MIXTE
62,Gossart Laetitia,350,MIXTE
62,Selig Agathe,350,MIXTE
62,Touzelet Lisa,350,MIXTE
62,HIRIGOYEN Lucas,350,MIXTE
62,Samuel Ava,350,MIXTE
68,Hardy Loic,340,MIXTE
69,Desjardins Samuel,325,MIXTE
70,Koenig Clara,315,MIXTE
70,Bacha Krsna,315,MIXTE
70,Poelmann Lloyd,315,MIXTE
73,Keeve Elizabeth,313,MIXTE
73,Keeve Retief,313,MIXTE
73,Gomez Henry Clara,313,MIXTE
73,Henry Christophe,313,MIXTE
77,Jugdarree Ashley,312,MIXTE
78,Watson Wesley Howard,305,MIXTE
78,Watson roelien,305,MIXTE
80,Cockrell Michael,290,MIXTE
80,Jorgensen Lesley,290,MIXTE
80,Ah choon Laisa,290,MIXTE
83,Hoffmann Pascal,275,MIXTE
83,Legros Nicolas,275,MIXTE
83,Robert Richard,275,MIXTE
83,Sandra Bezandry,275,MIXTE
83,lebreton pierre,275,MIXTE
83,Galushin Dmitry,275,MIXTE
83,Pilot Yannick,275,MIXTE
83,Vermaak Stefanie,275,MIXTE
91,Olsen Nils,257,MIXTE
92,Hoffmann Hugo,250,MIXTE
92,van der westhuizen valerie,250,MIXTE
92,van der westhuizen Cabous,250,MIXTE
92,Mathieu Jonathan. E,250,MIXTE
96,Mamet Vanessa,235,MIXTE
97,Holvec Nicci,225,MIXTE
97,Joganah Vigeshwah Naidu Avinash,225,MIXTE
97,Mence Eva,225,MIXTE
97,Mencis Rihards,225,MIXTE
101,De mezieres lepervanche Yannick,215,MIXTE
101,burnichon sylvain,215,MIXTE
101,audrey Eyermann,215,MIXTE
104,Schmid Rolph,200,MIXTE
104,Lacide Jean-Michel,200,MIXTE
104,Elsa Paul,200,MIXTE
104,Dalle-Grave Tippi,200,MIXTE
108,Ritter Amelie,191,MIXTE
108,Ritter Mathias,191,MIXTE
110,payet romain,185,MIXTE
110,payet laura,185,MIXTE
112,Raso Hervé,175,MIXTE
112,Lourens Thys,175,MIXTE
112,John Chuan Bryan,175,MIXTE
112,France Lini,175,MIXTE
112,Chummun Normann,175,MIXTE
112,Fong Wai Chin Tina,175,MIXTE
112,Veltri Joaco,175,MIXTE
119,Lotter Casper,165,MIXTE
119,Lötter ELizabeth,165,MIXTE
119,Pierre-Yves Delabre,165,MIXTE
119,Mélanie Carraro,165,MIXTE
123,Fabrice Noguera,150,MIXTE
123,Jeremy PALMIA,150,MIXTE
123,Smith Molly,150,MIXTE
123,Ah Choon Andry,150,MIXTE
123,Bee Noa,150,MIXTE
123,Roussel Neville,150,MIXTE
123,Roberts-Roussel Deborah,150,MIXTE
123,Lydie Noguera,150,MIXTE
131,Langlois Pierre Alain,140,MIXTE
131,Nicolas de Caritat,140,MIXTE
131,Catherine de Caritat,140,MIXTE
134,Schroder Charmaine,125,MIXTE
134,Navarrini Luca,125,MIXTE
134,Graffeille Angélique,125,MIXTE
134,Jia Young Ching Dick,125,MIXTE
134,Yew-Hin Yannick,125,MIXTE
134,Martin Juliette,125,MIXTE
134,How Hong Leefye Joanna,125,MIXTE
134,Francois Van Derton,125,MIXTE
134,gross Michèle,125,MIXTE
143,Vallet Nadia,115,MIXTE
143,Lincoln Marine,115,MIXTE
143,lacoste danila,115,MIXTE
143,Lacoste Loick,115,MIXTE
143,Marmin Laurent,115,MIXTE
143,Vermaak Nicole Monique,115,MIXTE
143,Max Schaffo,115,MIXTE
150,Duddle Mike,110,MIXTE
150,Duddle Joanne,110,MIXTE
152,Recter Elizabeth,107,MIXTE
152,Blackburn Yannik,107,MIXTE
154,Coombes Monique,105,MIXTE
154,Coombes David,105,MIXTE
154,Azoulay Ami,105,MIXTE
154,Azoulay Kerry,105,MIXTE
158,Piminov Igor,100,MIXTE
158,Piminova Stanislava,100,MIXTE
158,Viljoen Melissa,100,MIXTE
161,Nolot Estelle,90,MIXTE
161,Fraisse Antoine,90,MIXTE
161,Allison Merlin,90,MIXTE
161,Kervaut Julie,90,MIXTE
161,Angoh Stevens,90,MIXTE
161,Angoh Stephanie,90,MIXTE
161,Nicolas Sobrido,90,MIXTE
161,Celine Sobrido,90,MIXTE
161,GARCIA William,90,MIXTE
161,Emmanuelle GARCIA,90,MIXTE
161,Fournier Elodie,90,MIXTE
172,Mamet Oscar,75,MIXTE
172,Mamet Tara,75,MIXTE
172,de Waal Desiré,75,MIXTE
172,Moores Jason,75,MIXTE
172,lee baw khim,75,MIXTE
172,Wilken Yaroni,75,MIXTE
172,Li Kelly,75,MIXTE
172,Wilken Chris,75,MIXTE
172,Bernard Lopez,75,MIXTE
172,Merven Luc,75,MIXTE
172,Ballu Laetitia,75,MIXTE
183,Runghen Jean Pierre,65,MIXTE
184,de Robillard Melody,60,MIXTE
184,Moossa Ruslan,60,MIXTE
184,Podtopta Sonya,60,MIXTE
184,Dickie Alistair,60,MIXTE
184,faragher simon,60,MIXTE
184,Schmid Angela,60,MIXTE
184,Lam Nathalie,60,MIXTE
184,Pilot Jerome,60,MIXTE
192,Christelle Coutarel,55,MIXTE
193,Maingard Amedee,50,MIXTE
193,Laheurte Pascal,50,MIXTE
193,Pierrick Coutarel,50,MIXTE
193,Suru Diane,50,MIXTE
193,prune Maingard,50,MIXTE
198,Robert Isabelle,41,MIXTE
198,Guillaume Antonini,41,MIXTE
198,Adam Agnes,41,MIXTE
198,Pascal Mungly,41,MIXTE
202,Hazebrouck Marion,40,MIXTE
202,HAZEBROUCK Johan,40,MIXTE
204,Hirigoyen Joelle,25,MIXTE
204,Nathalie Le toullec,25,MIXTE
204,Desmarais Christine,25,MIXTE
204,CERCY Bertrand,25,MIXTE
204,Berchon Tash,25,MIXTE
204,Ollivier Maé,25,MIXTE
204,Breeze David,25,MIXTE
204,Fafournoux Amelie,25,MIXTE
204,Jauffret Sébastien,25,MIXTE
204,Boulard Florence,25,MIXTE
204,Boulard Pascal,25,MIXTE
215,Christophe Coutarel,20,MIXTE
216,Sally-Ann Maine-Tucker,15,MIXTE
216,Kaumaya Shamira,15,MIXTE
216,Bezuidenhout Cayla,15,MIXTE
216,Maine-Tucker Simon,15,MIXTE
216,Bunjun Simi,15,MIXTE
216,Jeremy Nobels,15,MIXTE
216,Marie Adamczyk,15,MIXTE
216,Borisov Boris,15,MIXTE
216,Ilicheva Ekaterina,15,MIXTE
216,GARRIGUES Elodie,15,MIXTE
216,Matti Quentin,15,MIXTE
227,THERAUD Hélène,5,MIXTE
227,Vincent Olivier,5,MIXTE
227,Leveque Christel,5,MIXTE
227,Ithier Stephanie,5,MIXTE
227,Kinnoo Bhavesh,5,MIXTE
227,Gill comte,5,MIXTE
233,tabibi hirad,0,MIXTE
233,Fabrice Peroux,0,MIXTE
233,Holvec Steven,0,MIXTE
233,Ghazi Labassi Hamza,0,MIXTE
233,Lincoln Ludovic,0,MIXTE
233,Vallet Elsa,0,MIXTE
233,Vallet Mathieu,0,MIXTE
233,Zinno Matteo,0,MIXTE
233,Dorne Raphael,0,MIXTE
233,Maurel Fabrice,0,MIXTE
233,Hoffmann Matteo,0,MIXTE
233,Schroder Olaf,0,MIXTE
233,Raffray Frédérick,0,MIXTE
233,Lescroart Brice,0,MIXTE
233,Manson Florian,0,MIXTE
233,Lyzhnikov Fedor,0,MIXTE
233,Michaux Jeremy,0,MIXTE
233,Mamet Xavier,0,MIXTE
233,Mamet Jérôme,0,MIXTE
233,Menteath Jonathan,0,MIXTE
233,Doger de Spéville Sandrine,0,MIXTE
233,Schnehage Gareth,0,MIXTE
233,Shiel Quintin,0,MIXTE
233,Gouws Rene,0,MIXTE
233,Olivier Randle,0,MIXTE
233,Perdrau Hubert,0,MIXTE
233,Ellis Hayley,0,MIXTE
233,Toothill Nastasia,0,MIXTE
233,Toothill Henry,0,MIXTE
233,Demidova Alexandra,0,MIXTE
233,Rey Nicolas,0,MIXTE
233,Gouws Kevin,0,MIXTE
233,Navarrini Nicolo,0,MIXTE
233,Fiori Adriana,0,MIXTE
233,Anne sophie Descroizilles,0,MIXTE
233,Lagesse Agnes,0,MIXTE
233,bunting paul,0,MIXTE
233,Boullé Anaïs,0,MIXTE
233,Nicholas Clark,0,MIXTE
233,Halbwachs Gabrielle,0,MIXTE
233,William Watt,0,MIXTE
233,SAGOT Agnès,0,MIXTE
233,Cassadin Guillaume,0,MIXTE
233,Monteil Morgane,0,MIXTE
233,Simon Iafare,0,MIXTE
233,Sacha Grosperrin,0,MIXTE
233,Valero Marc,0,MIXTE
233,Cornish Christabel,0,MIXTE
233,Vouros Costa,0,MIXTE
233,BUNTING CAROLINE,0,MIXTE
233,Bodenstein Karen,0,MIXTE
233,Graffeille Guillaume,0,MIXTE
233,Modeste Priscilla,0,MIXTE
233,Shevchenko Andrey,0,MIXTE
233,Cervello Julien,0,MIXTE
233,Demaire Marie,0,MIXTE
233,Mamet Rachel,0,MIXTE
233,MARTIN Melissa,0,MIXTE
233,Vanessa Leclezio,0,MIXTE
233,Ellis Clinton,0,MIXTE
233,PEYROU Jean-Thomas,0,MIXTE
233,Lagesse Simon,0,MIXTE
233,Toinel Laurence,0,MIXTE
233,Wason Garima Anmol,0,MIXTE
233,Kritzinger Yvonne,0,MIXTE
233,Margot Martineau,0,MIXTE
233,Wagner Sasha,0,MIXTE
233,Eilerd Jolene,0,MIXTE
233,Koenig Edgar,0,MIXTE
233,Gangloff Alexis,0,MIXTE
233,Ramasawmy Ashvin,0,MIXTE
233,Vinson Denis,0,MIXTE
233,Freidin Hayley,0,MIXTE
233,Rey Elodie,0,MIXTE
233,Koo Kristel,0,MIXTE
233,Kleyn Allen,0,MIXTE
233,Dewulf Tania,0,MIXTE
233,Monteil Nicolas,0,MIXTE
233,Thirion Dian,0,MIXTE
233,Dsa Dean,0,MIXTE
233,Bijou Guillaume,0,MIXTE
233,Mouton Pierre,0,MIXTE
233,MERVEN Yannick,0,MIXTE
233,Lagesse Selena,0,MIXTE
233,Freidin Warren,0,MIXTE
233,SEWNAUTH SURENDRA (KUNAL),0,MIXTE
233,Alexandre Gellé,0,MIXTE
233,Romane Maurel,0,MIXTE
233,Martin Amélie,0,MIXTE
233,Hirigoyen Chloé,0,MIXTE
233,Gabillon Lionel,0,MIXTE
233,Jessie Gabillon,0,MIXTE
233,Johann Hacklbauer,0,MIXTE
233,Le Roux Andre,0,MIXTE
233,Maxime Huyse,0,MIXTE
233,Mamet Samuel,0,MIXTE
233,Pablo Hernandez,0,MIXTE
233,Taylor Samantha,0,MIXTE
