rank,name,points,division
1,Danjoux Alice,4850,WOMEN
1,Koenig Laura,4850,WOMEN
3,Courcoux Melanie,3720,WOMEN
3,Rasamimanana Megane,3720,WOMEN
5,Desvaux de Marigny Celine,3380,WOMEN
6,Park Cécile,3215,WOMEN
7,Gossart Laetitia,3135,WOMEN
7,Foo Kune Kate,3135,WOMEN
9,Magaly Schaffo,3070,WOMEN
10,Houareau Anna-Blue,3050,WOMEN
11,Giraud Marinne,2870,WOMEN
12,Vallet Nadia,2835,WOMEN
13,Saddul Yushna,2510,WOMEN
14,Oxenham Frederique,2485,WOMEN
15,Guiraud Elisa,2000,WOMEN
16,Hola Martina,1853,WOMEN
17,Doger de Spéville Sandrine,1745,WOMEN
18,Elsa Toulet,1720,WOMEN
19,Need Farah,1693,WOMEN
20,Desvaux de Marigny Agnes,1653,WOMEN
21,Parsons Michelle,1579,WOMEN
21,Bodenstein Karen,1579,WOMEN
23,Alleaume Catherine,1568,WOMEN
24,Nolot Estelle,1553,WOMEN
25,Bezuidenhout Cayla,1501,WOMEN
26,Nash Laura,1476,WOMEN
26,Fortunato Sara,1476,WOMEN
28,Schroder Charmaine,1428,WOMEN
29,Boullé Anaïs,1281,WOMEN
30,Kleyn Deborah,1259,WOMEN
31,Jugdarree Pamela Paquita,1218,WOMEN
32,Recter Elizabeth,1131,WOMEN
33,Cruciani Valentina,1078,WOMEN
34,Armand Emma,987,WOMEN
35,lamusse lisa,883,WOMEN
36,Smith Kerry,868,WOMEN
37,Park Aurelie,867,WOMEN
38,Coline Aumard,838,WOMEN
39,Vallet Elsa,833,WOMEN
40,Claudia Pichler,830,WOMEN
41,de coriolis Catherine,827,WOMEN
42,Marie Lagesse,808,WOMEN
43,Lyzhnikova Ekaterina,783,WOMEN
44,Ritter Amelie,780,WOMEN
45,Razafimamonjy Prisca,770,WOMEN
45,Razafimahatratra Zarah Nambinina,770,WOMEN
47,Grondin Ludivine,700,WOMEN
48,Lia Giraud,696,WOMEN
49,Allison Carla,666,WOMEN
50,Robinson Andrianafetra Fitia,650,WOMEN
50,Sariaka Radilofe,650,WOMEN
50,Flore Poupart,650,WOMEN
50,Collado Stéphanie,650,WOMEN
54,Hardy Coralie,598,WOMEN
55,Ashley Laporte,595,WOMEN
56,Rasendra Miotisoa,570,WOMEN
56,RAKOTONDRAMBOA Fitia,570,WOMEN
58,Koenig Clara,511,WOMEN
59,Lecler Elodie,500,WOMEN
59,DEGUIGNE Jennifer,500,WOMEN
61,Keeve Elizabeth,498,WOMEN
62,Mamet Clea,469,WOMEN
63,Koo Kristel,438,WOMEN
64,Audibert Athina,421,WOMEN
65,Vermaak Nicole Monique,415,WOMEN
65,Vermaak Stefanie,415,WOMEN
67,yeadon Nikita,410,WOMEN
68,Margot Martineau,405,WOMEN
69,de Waal Desiré,398,WOMEN
70,De Marassé Enouf Mélissa,391,WOMEN
71,Cornish Christabel,390,WOMEN
72,lacoste danila,388,WOMEN
73,Koenig Agnès,378,WOMEN
74,Radilofe Lalaina,370,WOMEN
74,Miora Emilia Raoilison,370,WOMEN
76,Boyer Eloise,350,WOMEN
77,Gomand Aki,340,WOMEN
78,Smith Molly,323,WOMEN
79,LAPORTE RAVELONARIVO Yoanne,310,WOMEN
79,Bonsignorio Michela,310,WOMEN
81,Van Zyl Olivia,294,WOMEN
82,Martin Juliette,290,WOMEN
83,Holvec Nicci,275,WOMEN
84,Mayol Laurence,270,WOMEN
84,Ng Foong Po Wendy,270,WOMEN
86,Robert Isabelle,263,WOMEN
87,Ferrat Pascale,250,WOMEN
88,Chong Catherine,233,WOMEN
89,Mélanie Noël,230,WOMEN
90,Savreux Dominique,222,WOMEN
91,Rey Cristina,215,WOMEN
92,Angoh Stephanie,208,WOMEN
93,Ah choon Laisa,205,WOMEN
94,Pedrotti Solene,201,WOMEN
95,Bardet Charlotte,200,WOMEN
96,Jeudy Anne Laure,197,WOMEN
97,Sidorova Svetlana,191,WOMEN
98,De la Gournerie Anne-sophie,190,WOMEN
99,Lagesse Severine,189,WOMEN
99,Fitzgerald Annabel,189,WOMEN
101,Hirigoyen Joelle,185,WOMEN
102,Vallet Catherine,182,WOMEN
103,Desvaux de Marigny Armelle,177,WOMEN
104,Fafournoux Amelie,174,WOMEN
105,de Robillard Melody,168,WOMEN
105,Lagesse Nathalie,168,WOMEN
105,Jorgensen Lesley,168,WOMEN
108,Wilken Yaroni,164,WOMEN
109,Allen Michelle,160,WOMEN
110,durrheim kirsty,158,WOMEN
111,Descroizilles Vanessa,155,WOMEN
112,Maximova Oksana,154,WOMEN
113,Aurelia Bee,150,WOMEN
114,Kaumaya Shamira,149,WOMEN
115,Klimenko Olga,138,WOMEN
116,Stork Andrea,137,WOMEN
117,Pauline Dufourcq,129,WOMEN
118,Hugnin Labuschagne Valentine,128,WOMEN
119,How Hong Leefye Joanna,117,WOMEN
119,Dauguet Madeleine,117,WOMEN
121,Viljoen Melissa,114,WOMEN
122,Lincoln Marine,113,WOMEN
123,Marot Sandrine,109,WOMEN
124,Catherine Ronin,105,WOMEN
125,Marot Anne-france,100,WOMEN
125,Vermaak Vicky,100,WOMEN
127,Erasmus Laura,97,WOMEN
128,Coombes Monique,95,WOMEN
129,Laas Irma,94,WOMEN
130,Jorgensen Casey,93,WOMEN
130,France Lini,93,WOMEN
132,Gallet Audrey,89,WOMEN
132,Cheung Donna,89,WOMEN
134,Toinel Laurence,88,WOMEN
135,Doger de Speville Melissa,85,WOMEN
136,Ribet Melanie,84,WOMEN
137,Touzelet Lisa,82,WOMEN
138,Lemahieu Anne,81,WOMEN
139,Vachet Julie,80,WOMEN
139,Piganiol Nathalie,80,WOMEN
139,Li Kelly,80,WOMEN
142,AH-HONG SARAH,77,WOMEN
143,Desmarais Christine,73,WOMEN
144,NOEL Marine,72,WOMEN
145,Pauline Charpentier,71,WOMEN
145,Audrey Delabre,71,WOMEN
147,de Senneville valerie,69,WOMEN
147,Anne-Sophie Piat,69,WOMEN
149,Dupont Coralie,68,WOMEN
150,Fong Wai Chin Tina,66,WOMEN
151,Bunjun Simi,64,WOMEN
152,Ramjutan Saakshee,63,WOMEN
153,Goupille Camille,60,WOMEN
154,Castanet Katia,58,WOMEN
154,Kervaut Julie,58,WOMEN
154,Christelle Coutarel,58,WOMEN
154,Garcia Sophia,58,WOMEN
158,Dunienville Julie,57,WOMEN
159,Park Mazurier Corine,56,WOMEN
160,Mamet Tara,55,WOMEN
160,Selig Agathe,55,WOMEN
160,Phillips Juliet,55,WOMEN
160,Haskins Ilanda,55,WOMEN
160,Merle Ophélie,55,WOMEN
160,Eynaud Josephine,55,WOMEN
166,Hirigoyen Chloé,53,WOMEN
167,Ava Manuela,51,WOMEN
168,Ellis Hayley,50,WOMEN
168,Toothill Nastasia,50,WOMEN
168,Sandra Bezandry,50,WOMEN
168,Wagner Sasha,50,WOMEN
168,Rey Elodie,50,WOMEN
168,Cooke Kim,50,WOMEN
168,Lötter ELizabeth,50,WOMEN
175,Sindy Skoczek de Robillard,49,WOMEN
176,Lehna Zalagh,48,WOMEN
177,Boulard Florence,45,WOMEN
178,Gallet Roxane,43,WOMEN
179,Taylor Samantha,41,WOMEN
179,pellegrin yannick,41,WOMEN
181,Aurore Desvaux de marigny,40,WOMEN
181,Watson roelien,40,WOMEN
183,Hardy Sienna,38,WOMEN
183,romero martinez anna,38,WOMEN
185,THERAUD Hélène,37,WOMEN
185,Axelle Vercamer,37,WOMEN
187,Elsa Paul,35,WOMEN
188,Oosthuizen Chantal,33,WOMEN
188,Duddle Joanne,33,WOMEN
188,Hannelas Elodie,33,WOMEN
191,Kocsis-Magyari Monika,30,WOMEN
192,Meikle-braes chantall,29,WOMEN
193,Dalle-Grave Tippi,28,WOMEN
194,Lagesse Julia,26,WOMEN
195,Mel Vatinelle,25,WOMEN
195,Lagesse Laura,25,WOMEN
195,Aurélie Spies,25,WOMEN
198,Mélanie Carraro,22,WOMEN
198,Rogers Sandra,22,WOMEN
198,Lam Sze Ko Amber,22,WOMEN
201,Leveque Christel,20,WOMEN
201,Celine Sobrido,20,WOMEN
201,Henry Karine,20,WOMEN
201,Lucas Anne,20,WOMEN
205,Sulpice Melanie,19,WOMEN
206,Stephanie Desvaux Le juge,18,WOMEN
206,Mosolkova Karina,18,WOMEN
206,Rogers Mathilde,18,WOMEN
209,Michaux Clémence,17,WOMEN
209,Dalais Elizabeth,17,WOMEN
209,Li Hoi Foo Eleanor,17,WOMEN
209,Bocage Laura,17,WOMEN
213,Petersen Charlene,15,WOMEN
213,Pierre Sylvie,15,WOMEN
213,Clarenc Anne,15,WOMEN
213,HENRI Michele,15,WOMEN
213,Park Nadia,15,WOMEN
213,Deepoo-Payet Johannah,15,WOMEN
219,Catherine Marchal,14,WOMEN
220,Fournier Elodie,13,WOMEN
221,Strydom Kari,12,WOMEN
221,SOULAGE Sandrine,12,WOMEN
221,Strydom Lea,12,WOMEN
221,Koenig Cassandra,12,WOMEN
225,Kwo Steffi,11,WOMEN
225,Gujadhur Swarna,11,WOMEN
227,Robbertze Eloise,10,WOMEN
227,mira piro,10,WOMEN
229,Grigorieff Sophie,9,WOMEN
229,Isabelle Deslandes,9,WOMEN
229,Zhivilo Anna,9,WOMEN
229,Catherine de Caritat,9,WOMEN
229,Saskia Bax,9,WOMEN
234,Faragher Sharla,7,WOMEN
234,Demidova Alexandra,7,WOMEN
234,Roberts-Roussel Deborah,7,WOMEN
237,Graffeille Angélique,6,WOMEN
237,Nel Karissa,6,WOMEN
237,Hoffmann Jordane,6,WOMEN
237,Huggett Virginie,6,WOMEN
237,Felix Sefora,6,WOMEN
237,Madison Nayna,6,WOMEN
243,Sally-Ann Maine-Tucker,5,WOMEN
243,Adam Agnes,5,WOMEN
243,Jennifer Thomas,5,WOMEN
243,Elsa Dasc,5,WOMEN
243,emmanuelle exiga,5,WOMEN
243,Li Youn Fong Lauryn,5,WOMEN
249,Espitalier Noël Veronique,4,WOMEN
249,Azoulay Kerry,4,WOMEN
249,LECLEZIO NADINE,4,WOMEN
249,Labat Valerie,4,WOMEN
249,Ellapah Salinee,4,WOMEN
249,soniassy venita,4,WOMEN
249,Masseratte Charmaine,4,WOMEN
249,Ramasawmy Linda,4,WOMEN
249,Mamet Vanessa,4,WOMEN
258,Delaporte Douraine,3,WOMEN
258,sabine dalais,3,WOMEN
258,Joëlle Landrier,3,WOMEN
258,Margerite Landrier,3,WOMEN
258,Pougnet Pascale,3,WOMEN
258,Grand Virginie,3,WOMEN
258,anabelle de robillard,3,WOMEN
265,Loly Virginie,2,WOMEN
265,Baumert Stephanie,2,WOMEN
265,Espitalier Noel Ines,2,WOMEN
265,Ramtohul Varsha,2,WOMEN
265,ludovino patricia,2,WOMEN
265,Ghita Bennani,2,WOMEN
265,Seguin Stephanie,2,WOMEN
265,TOZZO Cindy,2,WOMEN
265,Fabre Estelle,2,WOMEN
265,Emmanuelle GARCIA,2,WOMEN
265,Duconseille Aurélie,2,WOMEN
265,Thoreux Fabienne,2,WOMEN
265,Cohen Keren,2,WOMEN
